Date,Open,High,Low,Close,pair
2020-01-02,1.12149,1.12247,1.11638,1.11718,EURUSD
2020-01-03,1.11718,1.11798,1.11252,1.11617,EURUSD
2020-01-06,1.11598,1.12056,1.11573,1.11958,EURUSD
2020-01-07,1.11959,1.11975,1.11337,1.11478,EURUSD
2020-01-08,1.11476,1.11683,1.11035,1.11102,EURUSD
2020-01-09,1.11086,1.11205,1.10935,1.11065,EURUSD
2020-01-10,1.11067,1.11293,1.10853,1.11217,EURUSD
2020-01-13,1.11154,1.11469,1.11128,1.11355,EURUSD
2020-01-14,1.11358,1.11445,1.11048,1.11265,EURUSD
2020-01-15,1.11266,1.11632,1.11187,1.11509,EURUSD
2020-01-16,1.1151,1.11713,1.11286,1.11375,EURUSD
2020-01-17,1.11376,1.11426,1.10864,1.10927,EURUSD
2020-01-20,1.10907,1.11024,1.10766,1.10972,EURUSD
2020-01-21,1.10972,1.11179,1.1081,1.1083,EURUSD
2020-01-22,1.10831,1.10985,1.10702,1.10935,EURUSD
2020-01-23,1.10934,1.11083,1.10365,1.10558,EURUSD
2020-01-24,1.10557,1.10613,1.10203,1.10279,EURUSD
2020-01-27,1.10304,1.10375,1.10099,1.10184,EURUSD
2020-01-28,1.10184,1.1025,1.0998,1.1022,EURUSD
2020-01-29,1.1022,1.10277,1.09926,1.10105,EURUSD
2020-01-30,1.10103,1.10396,1.10076,1.10341,EURUSD
2020-01-31,1.10336,1.10916,1.10171,1.10903,EURUSD
2020-02-03,1.10859,1.10908,1.10369,1.10594,EURUSD
2020-02-04,1.10593,1.10641,1.10332,1.10452,EURUSD
2020-02-05,1.10449,1.10476,1.09937,1.09999,EURUSD
2020-02-06,1.1,1.10137,1.09646,1.0981,EURUSD
2020-02-07,1.09809,1.09855,1.09422,1.09475,EURUSD
2020-02-10,1.09445,1.09576,1.09078,1.09113,EURUSD
2020-02-11,1.09116,1.09244,1.08922,1.09192,EURUSD
2020-02-12,1.09191,1.09256,1.08656,1.08718,EURUSD
